Country,City,lng,lat
Russian Federation,Praskoveya,44.2031,44.7444
Brazil,Presidente Dutra,-44.49,-5.29
Brazil,Presidente Dutra,-41.9869,-11.2958
Italy,Priolo Gargallo,15.1833,37.1667
Poland,Przasnysz,20.8833,53.0167
United States of America,Punta Gorda,-88.8074,16.1005
United States of America,Punta Gorda,-82.0513,26.8941
Belgium,Puurs,4.2803,51.0761
Russian Federation,Pyatigorsk,43.0667,44.05
China,Qinzhou,108.6167,21.95
Netherlands,Raalte,6.2667,52.3833
France,Raismes,3.4858,50.3892
Italy,Ramacca,14.7,37.3833
United States of America,Phoenix,-112.0892,33.5722
Poland,Piaseczno,21.0167,52.0667
Brazil,Pinheiral,-44.0008,-22.5128
Colombia,Plato,-74.7872,9.7919
Romania,Poiana Mare,23.0833,43.9333
Russian Federation,Polevskoy,60.1833,56.45
France,Pontarlier,6.3547,46.9061
United States of America,Pontiac,-83.2878,42.6493
United States of America,Pontiac,-88.6409,40.8894
Indonesia,Pontianak,109.3414,-0.0206
Brazil,Porecatu,-51.3789,-22.7558
Finland,Pori,21.8,61.4833
South Africa,Port Elizabeth,25.6,-33.9581
United States of America,Port Neches,-93.9459,29.9765
United Kingdom of Great Britain and Northern Ireland,Port Talbot,-3.7986,51.5906
United States of America,Portales,-103.3565,34.1754
United States of America,Post Falls,-116.9384,47.7213
Brazil,Pouso Alegre,-45.9336,-22.2281
Russian Federation,Dalnegorsk,135.5833,44.55
India,Darbhanga,85.9,26.17
United States of America,Dayton,-84.2003,39.7805
United States of America,Dayton,-119.5653,39.2592
United States of America,Dayton,-94.9158,30.0315
Belgium,Deinze,3.5333,50.9833
Haiti,Delmas,-72.3,18.55
United States of America,Deming,-107.7525,32.2631
United Kingdom of Great Britain and Northern Ireland,Denton,-97.1418,33.2175
United Kingdom of Great Britain and Northern Ireland,Denton,-2.1122,53.4554
United States of America,Destin,-86.4701,30.395
India,Dharmapuri,78.158,12.127
Philippines,Dipolog,123.3408,8.5872
Latvia,Dobele,23.2667,56.6167
United States of America,Grandville,-85.7564,42.9004
Netherlands,Grave,5.7333,51.7667
United States of America,Green Valley,-111.0009,31.8393
United States of America,Green Valley,-77.24,39.3414
United States of America,Greendale,-88.0018,42.9371
Colombia,Guamo,-74.9167,4.0833
Italy,Guardiagrele,14.2167,42.2
